country;counts;year
Afghanistan;25289;2017
Egypt;1461273;2017
Albania;110024;2017
Algeria;83600;2017
US Virgin Islands;498;2017
Angola;22572;2017
Antarctica;-;2017
Antigua and Barbuda;2519;2017
Equatorial Guinea;8475;2017
Argentina;174958;2017
Armenia;28827;2017
Azerbaijan;56662;2017
Ethiopia;73577;2017
Australia;295098;2017
Bahamas;5608;2017
Bahrain;40088;2017
Bangladesh;15463;2017
Barbados;32226;2017
Belarus;94886;2017
Belgium;856345;2017
Belize;92;2017
Benin;4023;2017
Bermuda;844;2017
Bhutan;106;2017
Bolivia;6465;2017
Bosnia and Herzegovina;201242;2017
Botswana;6046;2017
Brazil;516255;2017
British Virgin Islands;89;2017
Brunei;840;2017
Bulgaria;1075745;2017
Burkina Faso;3831;2017
Burundi;667;2017
Cape Verde;56347;2017
Chile;63940;2017
China;1536886;2017
Costa Rica;51482;2017
Côte D’Ivoire;5961;2017
Denmark;1282641;2017
Germany;19794500;2017
Dominica;6;2017
Dominican Republic;407315;2017
Djibouti;3536;2017
Ecuador;27503;2017
El Salvador;5663;2017
Eritrea;4069;2017
Estonia;253874;2017
Eswatini;405;2017
Falkland Islands;56;2017
Faroes;1773;2017
Fiji;432;2017
Finland;915131;2017
France;3544825;2017
Guyana;354;2017
French Polynesia;2089;2017
Gabon;1224;2017
Gambia;4930;2017
Georgia;131921;2017
Ghana;34051;2017
Gibraltar;278;2017
Grenada;3424;2017
Greece;3561983;2017
Greenland;1923;2017
Guadeloupe;8680;2017
Guam;408;2017
Guatemala;10035;2017
Guinea;3343;2017
Guinea-Bissau;260;2017
Guyana;159;2017
Haiti;226;2017
Honduras;1612;2017
Hong Kong;356127;2017
India;1008945;2017
Indonesia;191642;2017
Iraq;87928;2017
Iran;326189;2017
Ireland;1076953;2017
Iceland;323395;2017
Israel;824960;2017
Italy;7401788;2017
Jamaica;73335;2017
Japan;908398;2017
Yemen;115;2017
Jordan;123008;2017
Cayman Islands;561;2017
Cambodia;17400;2017
Cameroon;16632;2017
Canada;1234434;2017
Kazakhstan;173496;2017
Qatar;71436;2017
Kenya;138849;2017
Kyrgyzstan;19355;2017
Kiribati;-;2017
Colombia;118182;2017
Comoros;859;2017
Congo;5044;2017
North Korea;45;2017
South Korea;517029;2017
Croatia;1011709;2017
Cuba;295396;2017
Kuwait;110590;2017
Laos;6139;2017
Lesotho;557;2017
Latvia;407854;2017
Lebanon;236303;2017
Liberia;1252;2017
Libya;856;2017
Lithuania;289857;2017
Luxembourg;258497;2017
Macau;443;2017
Madagascar;5132;2017
Malawi;5975;2017
Malaysia;94985;2017
Maldives;118782;2017
Mali;3199;2017
Malta;441704;2017
Northern Mariana Islands;72;2017
Morocco;535463;2017
Martinique;12272;2017
Mauritania;1660;2017
Mauritius;140655;2017
Mexico;450935;2017
Moldova;71116;2017
Monaco;49;2017
Mongolia;18111;2017
Montenegro;60055;2017
Mozambique;7606;2017
Myanmar/Burma;21500;2017
Namibia;129745;2017
Nepal;28368;2017
New Caledonia;1025;2017
New Zealand;80537;2017
Nicaragua;7405;2017
Netherlands;1250161;2017
Sint-Maarten;32728;2017
Niger;2047;2017
Nigeria;122922;2017
North Macedonia;202385;2017
Norway;978126;2017
Oman;81143;2017
Austria;3379976;2017
Pakistan;56951;2017
Palau;543;2017
Panama;71340;2017
Papua New Guinea;374;2017
Paraguay;9283;2017
Peru;57129;2017
Philippines;101184;2017
Poland;2059650;2017
Portugal;2544002;2017
Puerto Rico;12465;2017
Reunion;6451;2017
Rwanda;6303;2017
Romania;1348290;2017
Russian Federation;1877349;2017
Solomon Islands;2;2017
Zambia;8684;2017
Samoa;19;2017
São Tomé and Príncipe;381;2017
Saudi Arabia;256743;2017
Sweden;1819873;2017
Switzerland;3172512;2017
Senegal;10903;2017
Serbia;699297;2017
